name: Glider
23  40
23  41
23  42
22  42
21  41
name: SpaceShip
35  64
34  63
34  65
33  63
33  64
33  65
32  64
name: 10CellRow
29  48
29  49
29  50
29  51
29  52
29  53
29  54
29  55
29  56
29  57
name: GliderGun
9  9
10  9
10  10
9  10
10  17
11  17
11  18
9  18
9  19
10  19
11  25
11  26
12  27
12  25
13  25
9  31
9  32
8  31
7  32
7  33
8  33
7  43
7  44
8  44
8  43
14  44
14  45
15  46
15  44
16  44
19  33
19  34
19  35
20  33
21  34
